id,country,job_role,ai_specialization,experience_level,experience_years,salary_usd,bonus_usd,education_required,industry,company_size,interview_rounds,year,work_mode,weekly_hours,company_rating,job_openings,hiring_difficulty_score,layoff_risk,ai_adoption_score,company_funding_billion,economic_index,ai_maturity_years,offer_acceptance_rate,tax_rate_percent,vacation_days,skill_demand_score,automation_risk,job_security_score,career_growth_score,work_life_balance_score,promotion_speed,salary_percentile,cost_of_living_index,employee_satisfaction
77,Japan,Data Analyst,LLM,Lead,19,131001,18892,PhD,Retail,Large,7,2024,Hybrid,52.7,3.25,14,40.23381115844748,0.008,56,9.47,54.18,14,62.25,23.6,22,50,85,80,65,50,70,84,1.3,63
86,France,Data Analyst,MLOps,Senior,11,78397,17092,Master,Retail,Small,7,2022,Remote,54.9,3.5,10,76.12708595936658,0.027,71,9.31,92.2,13,87.76,28.2,30,6,40,91,67,46,48,57,1.92,70
95,Singapore,Data Analyst,NLP,Mid,4,67575,10800,Bootcamp,Retail,Medium,2,2022,Hybrid,38.6,3.98,18,100.0,0.22,76,1.28,76.75,5,56.75,15.7,14,70,33,72,57,81,37,23,1.62,77
162,France,Data Analyst,NLP,Entry,0,38132,7768,Bootcamp,Education,Large,7,2022,Onsite,51.8,3.98,1,53.216302595657154,0.378,83,7.69,83.16,12,77.11,18.5,22,19,88,61,69,53,33,32,0.92,46
166,France,Data Analyst,Analytics,Lead,19,93352,4688,Bootcamp,Gaming,Large,7,2021,Hybrid,53.9,3.49,15,54.50111980758282,0.066,57,3.21,77.68,7,71.45,15.8,13,74,87,92,52,50,75,70,0.56,67
168,Netherlands,Data Analyst,MLOps,Mid,3,57593,9711,Master,Energy,Medium,2,2025,Onsite,54.0,3.4,19,76.28021252088968,0.14,73,2.95,51.94,14,87.54,39.7,28,31,32,84,46,59,32,7,1.42,73
169,UAE,Data Analyst,Generative AI,Mid,5,62737,4240,PhD,Tech,Startup,7,2025,Hybrid,36.0,4.5,12,48.20401618463872,0.118,93,6.82,66.12,4,81.65,41.7,14,1,71,66,72,82,53,21,0.95,74
181,Japan,Data Analyst,Analytics,Entry,1,46711,7343,Bachelor,Tech,Large,6,2025,Remote,49.9,3.42,29,44.11608278508612,0.33,81,3.66,82.15,4,70.84,16.0,25,5,37,64,60,66,25,53,0.82,71
184,Germany,Data Analyst,MLOps,Lead,14,104512,15006,Master,Gaming,Small,7,2022,Remote,36.4,3.46,1,54.31347846205032,0.035,80,8.21,54.96,3,86.63,23.5,23,79,99,93,73,88,57,3,1.37,82
185,Germany,Data Analyst,LLM,Entry,0,44967,5508,Diploma,Finance,Enterprise,6,2021,Onsite,41.4,4.38,19,28.19536447781569,0.421,61,3.92,56.46,14,60.32,31.2,11,32,95,68,55,84,12,6,1.14,73
190,Australia,Data Analyst,Computer Vision,Senior,6,83954,13854,Diploma,Retail,Medium,4,2021,Remote,45.1,3.85,31,23.691022999195688,0.062,54,7.58,93.75,11,56.89,40.8,16,7,35,86,59,75,62,49,1.86,71
195,India,Data Analyst,Forecasting,Lead,12,45855,3360,Bootcamp,Education,Small,7,2021,Onsite,40.3,3.68,19,42.80469270609165,0.123,53,3.58,62.62,8,61.57,35.5,18,98,63,84,42,79,42,93,0.74,78
204,Brazil,Data Analyst,Generative AI,Lead,16,66178,4651,Master,Energy,Medium,7,2026,Onsite,45.0,4.46,4,82.09981345430491,0.13,64,8.15,51.55,4,60.62,20.6,26,96,45,80,63,76,46,7,1.54,66
215,Japan,Data Analyst,Generative AI,Lead,15,112389,18785,Diploma,Automotive,Startup,3,2021,Onsite,39.0,3.75,15,62.56275929175315,0.032,69,0.78,99.35,7,74.41,17.4,17,33,85,80,44,71,65,20,2.28,75
242,Canada,Data Analyst,Computer Vision,Lead,15,100766,20884,PhD,Finance,Startup,4,2026,Hybrid,41.1,4.43,15,35.99888550490529,0.057,60,9.48,71.61,5,90.9,39.2,22,100,97,76,71,77,76,18,0.67,75
258,Germany,Data Analyst,LLM,Mid,3,60738,4774,Master,Tech,Large,6,2026,Hybrid,48.3,4.44,7,37.34013314890476,0.06,69,6.25,69.57,13,72.9,40.7,10,43,1,85,67,59,30,98,2.34,65
262,Canada,Data Analyst,NLP,Mid,4,76084,15207,Bachelor,Education,Startup,3,2025,Hybrid,38.2,4.17,18,86.3627695246457,0.099,93,1.37,47.73,10,58.79,13.0,20,53,16,63,61,88,54,69,1.5,70
263,India,Data Analyst,MLOps,Lead,19,45109,6974,Bachelor,Automotive,Large,2,2021,Remote,49.0,3.92,17,32.02595342872232,0.079,65,9.02,88.8,13,76.88,31.5,19,91,90,90,62,58,56,78,2.01,71
264,USA,Data Analyst,Reinforcement Learning,Senior,6,76992,10762,PhD,Healthcare,Startup,5,2020,Onsite,36.2,3.82,10,97.1043211282404,0.14,75,2.01,69.4,3,90.65,24.3,19,34,23,73,51,78,49,4,0.79,69
271,India,Data Analyst,Forecasting,Entry,0,28000,2926,Bootcamp,Automotive,Startup,4,2025,Onsite,42.1,3.83,12,27.51326090523177,0.406,64,1.46,88.6,6,66.17,31.4,15,13,32,54,32,65,24,85,2.25,58
280,Germany,Data Analyst,Computer Vision,Entry,1,41933,7576,Bachelor,Gaming,Medium,2,2021,Hybrid,44.8,3.38,11,43.58416251366051,0.41,84,8.97,89.08,10,76.18,26.4,23,22,53,57,75,65,40,64,1.86,51
298,India,Data Analyst,Generative AI,Senior,8,35258,5728,Bachelor,Gaming,Large,7,2022,Remote,39.6,3.73,29,93.14155264452576,0.063,68,0.72,47.32,6,74.85,28.3,21,63,77,77,40,81,37,58,0.84,75
300,Germany,Data Analyst,Generative AI,Mid,2,53285,3472,Bootcamp,Retail,Medium,2,2022,Onsite,49.1,3.41,18,59.83468445879736,0.118,68,3.23,46.01,3,82.59,21.0,25,17,83,74,50,59,50,23,1.75,67
305,Brazil,Data Analyst,Forecasting,Senior,6,32112,5256,PhD,Retail,Enterprise,6,2022,Hybrid,43.9,4.35,23,56.47579864884495,0.143,74,3.24,81.18,5,93.36,39.9,27,24,38,81,61,83,23,13,2.08,67
314,UK,Data Analyst,NLP,Entry,0,37573,4480,Bachelor,Education,Enterprise,4,2022,Onsite,49.4,4.26,17,43.74550431793207,0.417,73,4.5,49.33,13,79.15,16.9,11,49,82,64,57,65,21,33,1.97,69
327,Singapore,Data Analyst,Computer Vision,Lead,18,160706,15364,Diploma,Telecom,Small,5,2025,Onsite,54.2,3.83,17,52.414128461851874,0.066,59,6.65,96.59,10,61.13,12.3,12,64,58,84,63,51,37,41,0.98,69
329,France,Data Analyst,LLM,Lead,17,102106,9103,Master,Gaming,Medium,5,2021,Hybrid,43.8,4.43,19,65.61887738191085,0.071,56,7.16,72.48,11,67.21,41.2,29,77,61,84,52,71,49,92,1.83,68
339,Japan,Data Analyst,MLOps,Lead,13,106014,15293,Bachelor,Retail,Enterprise,5,2023,Hybrid,51.8,3.22,7,93.57412698252838,0.147,70,0.66,79.44,9,83.16,31.5,20,71,7,77,50,60,32,2,2.44,70
347,France,Data Analyst,Computer Vision,Senior,9,85283,16525,Master,Energy,Startup,6,2023,Onsite,42.8,4.64,20,55.36337971377205,0.076,70,2.88,69.65,3,65.98,23.8,30,9,27,79,43,68,62,86,1.28,70
348,UAE,Data Analyst,Generative AI,Lead,15,85719,8376,Bachelor,Finance,Small,7,2026,Onsite,39.0,4.25,7,37.664827958586784,0.069,88,3.11,45.48,5,92.1,14.0,10,59,92,84,64,78,48,43,1.23,77
363,India,Data Analyst,Analytics,Entry,1,28000,4300,Diploma,Retail,Enterprise,5,2024,Hybrid,42.0,3.47,16,70.54968987193612,0.345,75,4.5,86.9,3,85.94,38.3,11,84,42,65,57,89,19,14,0.55,62
366,UK,Data Analyst,Reinforcement Learning,Entry,0,44147,6935,Master,Energy,Medium,3,2020,Remote,47.0,4.01,17,100.0,0.316,57,2.87,89.44,8,69.72,15.8,29,92,16,67,35,62,63,85,0.58,64
371,USA,Data Analyst,Computer Vision,Lead,14,142570,29889,Master,Healthcare,Enterprise,5,2024,Onsite,40.8,4.37,26,76.09755092048492,0.092,49,5.66,67.61,12,69.21,24.2,11,69,65,92,43,84,30,97,1.32,88
385,Germany,Data Analyst,LLM,Senior,6,61939,4212,PhD,Telecom,Medium,3,2026,Hybrid,53.1,3.54,12,77.11941790361007,0.033,67,6.0,49.08,4,73.59,30.5,22,87,96,87,53,57,25,44,0.69,65
387,Germany,Data Analyst,Reinforcement Learning,Senior,11,73482,9428,Master,Retail,Small,6,2026,Hybrid,48.1,3.87,14,28.266649071401226,0.068,86,7.4,69.8,5,88.08,14.9,13,16,11,87,71,52,41,87,1.91,64
392,Australia,Data Analyst,Generative AI,Lead,18,128705,27317,PhD,Gaming,Medium,5,2025,Remote,53.1,4.45,16,51.31185945048432,0.035,98,8.73,70.04,12,82.92,23.6,14,74,88,88,87,58,65,30,0.82,83
404,Netherlands,Data Analyst,Analytics,Entry,1,51021,3268,Diploma,Consulting,Medium,4,2021,Remote,38.6,4.41,25,52.28284686856111,0.432,79,8.7,81.68,7,64.36,29.6,10,1,67,73,67,78,22,98,1.64,61
417,Netherlands,Data Analyst,NLP,Entry,0,50167,2866,PhD,Telecom,Medium,2,2020,Hybrid,43.3,4.4,12,46.34966056235546,0.512,38,4.22,81.7,14,94.66,33.4,24,72,38,55,40,63,38,70,0.83,55
425,UAE,Data Analyst,Generative AI,Mid,3,55726,11711,Bachelor,Energy,Enterprise,7,2026,Onsite,49.0,3.59,12,74.22838749241316,0.125,70,2.14,47.72,8,88.95,12.3,24,90,86,85,48,71,44,55,2.37,66
430,Brazil,Data Analyst,Computer Vision,Mid,4,33462,4492,Bootcamp,Automotive,Medium,5,2026,Onsite,40.0,4.4,10,56.701897341811424,0.176,79,9.02,52.7,6,68.93,23.7,12,93,42,73,67,77,23,62,1.52,73
432,Canada,Data Analyst,MLOps,Entry,0,46112,6107,Bootcamp,Telecom,Startup,2,2026,Hybrid,44.9,4.06,4,73.24289494223908,0.322,74,4.47,69.54,11,77.59,26.1,28,20,42,58,59,56,32,65,0.6,56
433,Japan,Data Analyst,Forecasting,Mid,2,51096,8740,Bootcamp,Tech,Large,6,2020,Onsite,43.9,4.73,10,51.30384861301346,0.199,97,4.49,58.6,4,84.27,25.2,17,56,38,81,66,72,14,51,1.1,70
436,Singapore,Data Analyst,Generative AI,Mid,2,64080,3405,PhD,Finance,Medium,7,2023,Onsite,49.7,4.21,21,24.136443973235988,0.199,66,3.19,77.32,4,69.14,26.5,13,86,53,72,55,62,50,55,1.69,63
438,USA,Data Analyst,Computer Vision,Mid,2,60768,9974,Bachelor,Gaming,Small,7,2022,Remote,54.0,4.53,28,67.92850481507543,0.168,85,5.74,83.81,6,78.09,38.7,29,19,37,76,69,38,29,2,1.9,56
449,Brazil,Data Analyst,Computer Vision,Mid,2,30831,6762,Diploma,Tech,Medium,3,2022,Onsite,43.4,4.73,5,81.49848090697213,0.216,57,8.62,77.37,12,55.44,13.8,25,92,84,67,72,78,33,48,2.49,65
451,Japan,Data Analyst,Forecasting,Mid,4,63761,12244,Bootcamp,Finance,Small,5,2023,Onsite,41.5,3.22,1,62.474414217821085,0.189,56,3.21,88.01,8,87.49,16.9,24,32,55,80,54,81,31,52,1.98,71
476,UAE,Data Analyst,MLOps,Senior,8,76206,11886,PhD,Retail,Small,6,2026,Hybrid,44.3,3.34,25,36.78504496273135,0.099,90,3.06,96.93,10,75.69,14.2,13,35,20,84,57,65,36,21,2.13,78
478,France,Data Analyst,Analytics,Mid,3,56212,10629,Bootcamp,Finance,Medium,5,2021,Remote,45.1,3.56,7,49.03478013346725,0.205,70,1.43,63.86,5,85.93,29.1,10,61,87,69,44,73,41,7,0.68,66
484,Australia,Data Analyst,Forecasting,Mid,5,66890,5316,Diploma,Energy,Small,2,2023,Hybrid,37.7,3.36,12,46.82899190911545,0.188,67,6.76,59.18,6,85.07,14.8,28,56,56,76,60,91,32,73,1.14,76
485,India,Data Analyst,Forecasting,Mid,4,28000,5405,Bachelor,Finance,Enterprise,6,2021,Onsite,38.9,3.26,7,65.16521305585482,0.251,44,1.16,98.77,10,55.19,38.2,20,72,13,61,38,95,28,57,1.11,75
505,UAE,Data Analyst,NLP,Mid,5,65155,8285,PhD,Energy,Medium,6,2022,Remote,46.4,3.54,13,62.5112548032632,0.147,63,3.93,66.64,13,57.57,18.8,10,9,2,77,49,73,55,53,2.09,71
507,UAE,Data Analyst,NLP,Entry,0,48171,8820,Diploma,Finance,Startup,7,2026,Onsite,53.0,4.56,20,46.64579209458485,0.37,83,2.73,47.72,12,90.57,32.0,15,15,90,51,51,34,40,24,1.73,49
513,Canada,Data Analyst,Computer Vision,Entry,1,44191,8687,Bootcamp,Telecom,Large,6,2026,Hybrid,46.6,3.84,8,63.84075077616039,0.382,71,3.73,56.57,8,75.85,39.6,19,52,8,66,59,59,15,81,1.78,61
515,UAE,Data Analyst,Analytics,Senior,11,86219,10710,Diploma,Telecom,Startup,2,2026,Onsite,39.3,4.21,18,61.67363605981976,0.05,60,0.39,54.5,10,65.35,26.0,16,18,5,71,34,81,47,25,0.97,71
516,USA,Data Analyst,MLOps,Lead,19,187197,12016,Diploma,Telecom,Startup,6,2024,Hybrid,45.8,3.54,20,68.07126377791604,0.014,93,1.08,62.9,3,61.03,30.6,11,44,8,78,58,48,69,44,1.34,83
535,France,Data Analyst,MLOps,Entry,0,43807,8448,Master,Tech,Large,7,2021,Hybrid,39.6,4.59,10,64.1244829624536,0.381,71,8.82,45.32,12,70.52,20.3,28,4,59,62,76,81,16,60,1.64,59
537,France,Data Analyst,LLM,Entry,1,40609,3865,Bootcamp,Education,Medium,7,2021,Hybrid,48.7,4.16,11,75.8524959365199,0.367,62,6.87,52.89,3,91.06,17.2,13,50,47,66,54,66,12,60,1.21,69
550,Brazil,Data Analyst,Analytics,Lead,18,72440,6458,Bachelor,Gaming,Startup,6,2022,Onsite,48.4,3.25,5,69.2241449622243,0.157,61,6.3,94.99,6,87.86,41.2,28,68,29,71,60,51,83,99,0.62,57
551,France,Data Analyst,Forecasting,Entry,0,41083,4923,Bachelor,Finance,Enterprise,6,2023,Hybrid,45.0,4.05,13,45.3117316586538,0.301,76,4.77,90.46,6,94.61,23.2,25,41,78,65,57,86,12,78,1.0,74
567,Brazil,Data Analyst,Computer Vision,Mid,5,37667,7750,Master,Gaming,Startup,7,2024,Hybrid,51.8,4.15,21,55.01007986211452,0.252,48,8.68,74.71,12,74.76,27.4,21,46,21,60,50,54,39,65,0.83,59
568,Japan,Data Analyst,LLM,Entry,1,39110,2618,Bootcamp,Finance,Enterprise,3,2025,Onsite,46.9,3.36,15,63.15799424109216,0.444,67,7.35,96.37,6,59.42,31.0,19,22,97,52,55,69,15,69,1.84,58
570,Australia,Data Analyst,Analytics,Mid,5,65553,7546,Bachelor,Telecom,Startup,5,2025,Remote,54.4,4.35,9,61.579420648771205,0.134,100,6.99,75.95,11,93.98,32.7,14,64,98,67,75,49,76,47,2.29,66
572,Netherlands,Data Analyst,Reinforcement Learning,Lead,12,94906,9353,Bachelor,Automotive,Large,5,2020,Onsite,38.9,4.68,15,39.20160197645485,0.121,60,2.6,45.54,8,64.9,15.1,15,2,87,90,44,85,24,63,2.04,79
585,Canada,Data Analyst,Analytics,Senior,9,99108,11534,Master,Consulting,Enterprise,6,2022,Hybrid,43.8,4.19,18,50.00286341554268,0.026,84,0.88,62.53,8,82.09,40.4,23,26,64,84,52,79,17,82,1.78,73
586,Canada,Data Analyst,MLOps,Senior,7,90306,5279,Bootcamp,Automotive,Startup,5,2022,Remote,42.9,4.66,18,73.19913558207223,0.116,64,8.87,96.61,12,55.5,33.8,12,92,75,76,66,66,45,13,1.12,71
597,UAE,Data Analyst,Forecasting,Senior,11,66795,7940,PhD,Healthcare,Medium,4,2021,Remote,39.8,4.75,22,61.60959637795698,0.063,69,0.81,79.41,13,70.39,16.0,29,5,95,91,26,81,40,85,1.27,81
598,USA,Data Analyst,MLOps,Senior,9,115910,16399,PhD,Energy,Large,7,2021,Remote,40.0,4.19,12,81.38504761485333,0.077,42,7.98,52.21,11,68.73,32.3,17,57,50,81,45,87,66,2,0.7,80
620,USA,Data Analyst,MLOps,Mid,4,69358,14954,Master,Telecom,Large,2,2026,Hybrid,38.6,3.33,19,44.64051096634241,0.139,100,6.44,91.37,10,55.42,37.8,23,95,40,83,82,83,27,88,1.4,88
630,USA,Data Analyst,NLP,Entry,1,63459,8089,Master,Retail,Large,5,2024,Onsite,38.4,4.29,8,89.3612753427774,0.348,74,2.96,75.39,11,77.54,34.1,16,12,39,70,61,95,14,99,1.04,77
632,Netherlands,Data Analyst,Generative AI,Mid,5,59154,9327,Bachelor,Automotive,Enterprise,4,2020,Remote,43.9,3.83,9,65.90890301078302,0.164,55,5.23,99.07,4,64.79,23.3,30,92,56,86,41,90,39,54,1.1,78
638,Germany,Data Analyst,MLOps,Entry,1,44648,4176,PhD,Tech,Medium,7,2022,Remote,49.1,3.9,20,52.24092977139596,0.387,86,2.25,51.16,5,60.64,36.6,26,5,9,64,52,68,29,44,2.27,68
651,Australia,Data Analyst,Reinforcement Learning,Entry,1,61872,11614,PhD,Gaming,Enterprise,5,2022,Remote,49.6,3.92,31,97.31775908322288,0.417,58,2.13,55.58,5,90.76,40.9,23,53,11,56,35,70,23,12,1.46,64
665,Germany,Data Analyst,Generative AI,Mid,4,65233,7701,Bachelor,Consulting,Enterprise,4,2022,Remote,52.9,4.78,20,75.78508095523365,0.185,69,4.71,61.62,8,56.23,17.0,24,71,53,81,50,59,23,9,1.29,64
680,Australia,Data Analyst,LLM,Senior,9,81768,14386,Master,Finance,Enterprise,7,2022,Hybrid,38.7,3.25,18,52.9997792768742,0.071,62,8.43,90.49,4,66.39,25.4,17,26,22,86,60,93,12,43,1.12,85
691,Netherlands,Data Analyst,Forecasting,Entry,1,53364,8389,Bootcamp,Retail,Small,3,2023,Remote,37.6,3.72,9,85.02036279408127,0.424,69,2.9,63.19,10,77.54,37.6,20,95,49,62,51,75,12,27,1.27,75
694,UK,Data Analyst,Computer Vision,Entry,0,40463,3487,Bachelor,Healthcare,Medium,7,2022,Remote,38.8,4.73,13,17.43275357722871,0.41,59,3.97,65.75,9,79.73,38.3,30,15,44,57,48,83,29,27,1.4,76
696,Germany,Data Analyst,Generative AI,Lead,16,117159,21019,Master,Gaming,Medium,2,2026,Onsite,50.7,3.92,14,30.60845081604989,0.115,88,9.07,50.32,12,68.41,27.2,16,69,38,79,73,60,32,20,1.97,76
697,India,Data Analyst,Forecasting,Entry,0,28000,6014,Master,Automotive,Small,7,2026,Remote,50.3,3.33,13,79.98338051152061,0.41,82,3.8,64.89,10,62.28,40.8,29,9,22,53,56,63,12,66,1.93,67
702,Netherlands,Data Analyst,Computer Vision,Senior,8,88465,17636,PhD,Finance,Medium,6,2024,Onsite,48.1,3.81,28,54.281722391397054,0.081,65,1.7,66.33,11,77.22,16.2,30,11,36,88,48,65,17,30,1.27,65
718,France,Data Analyst,Computer Vision,Entry,1,49515,10132,Diploma,Consulting,Startup,5,2024,Hybrid,50.7,3.95,5,72.34966934198931,0.378,66,9.23,79.5,14,88.95,18.9,22,25,51,54,61,42,61,5,2.13,57
723,India,Data Analyst,Generative AI,Mid,2,28000,2943,Bachelor,Finance,Startup,2,2021,Hybrid,38.5,4.19,17,42.00888720036852,0.233,53,7.82,76.65,6,70.77,21.2,12,29,13,53,62,79,62,86,1.31,66
726,Australia,Data Analyst,MLOps,Lead,14,90122,12859,Bootcamp,Retail,Startup,4,2021,Remote,49.1,3.84,24,71.5948588231364,0.118,92,7.84,72.2,4,80.18,27.1,16,53,39,81,89,47,66,99,1.57,61
729,UAE,Data Analyst,Computer Vision,Entry,0,44742,9679,PhD,Retail,Startup,3,2024,Onsite,38.4,4.75,22,60.22327092235622,0.344,95,2.67,76.57,9,60.11,22.6,17,80,11,55,65,62,51,8,1.59,60
732,India,Data Analyst,Reinforcement Learning,Mid,5,28000,2054,Master,Energy,Startup,6,2026,Hybrid,39.7,4.77,15,50.06886001497485,0.146,71,8.81,76.3,11,63.11,20.8,20,24,57,73,73,77,77,81,1.89,73
746,UK,Data Analyst,MLOps,Entry,0,40135,5595,Diploma,Healthcare,Small,5,2023,Onsite,44.1,4.07,12,57.91204440437781,0.426,69,2.06,70.41,12,91.03,39.2,13,82,22,63,52,73,18,11,2.14,69
762,Germany,Data Analyst,Generative AI,Entry,0,40204,6570,PhD,Healthcare,Large,7,2021,Remote,42.8,4.25,32,53.91494651749633,0.339,85,4.77,53.74,3,84.49,32.7,27,51,44,67,70,69,28,55,1.59,58
769,UAE,Data Analyst,Forecasting,Entry,1,50156,10166,PhD,Education,Enterprise,7,2022,Onsite,38.2,3.54,17,48.44620161712534,0.415,63,1.75,90.59,4,91.95,31.1,28,24,50,51,39,82,12,62,0.71,68
783,India,Data Analyst,Forecasting,Lead,18,44347,7113,PhD,Consulting,Small,5,2021,Onsite,52.6,4.46,5,31.257558372711973,0.032,68,5.09,90.9,7,66.06,26.0,18,55,67,87,60,55,43,92,1.42,68
799,USA,Data Analyst,Generative AI,Entry,0,52472,8657,Bootcamp,Tech,Large,4,2022,Onsite,48.9,3.71,7,72.41908034502674,0.358,61,3.81,53.83,13,75.44,23.6,17,29,44,68,49,62,43,55,0.82,70
804,UAE,Data Analyst,Computer Vision,Mid,3,61298,11640,Bootcamp,Consulting,Startup,6,2024,Hybrid,45.2,3.49,1,40.98268872335525,0.218,91,4.51,83.02,7,58.23,13.3,25,98,26,69,68,59,65,69,1.06,67
812,India,Data Analyst,LLM,Senior,6,32492,3338,Bootcamp,Healthcare,Medium,7,2020,Onsite,51.3,3.59,13,42.22145560686284,0.124,61,1.82,66.27,4,93.93,37.9,22,84,33,91,42,64,34,81,0.53,73
813,UAE,Data Analyst,MLOps,Lead,15,95316,14708,Master,Retail,Medium,6,2022,Onsite,48.8,3.26,9,65.0766117147537,0.079,60,7.48,57.35,9,91.22,28.3,14,58,30,79,53,64,66,94,1.37,67
816,Australia,Data Analyst,NLP,Lead,12,114136,20627,Bachelor,Telecom,Startup,6,2026,Remote,53.8,4.32,24,71.41264468427443,0.123,64,7.45,91.94,9,80.29,19.6,22,3,15,65,64,41,39,2,2.22,64
820,USA,Data Analyst,Analytics,Lead,18,164277,21374,PhD,Telecom,Small,3,2025,Onsite,53.4,4.57,27,30.0213649235603,0.031,65,8.79,70.32,9,88.06,24.7,13,63,22,91,61,55,57,15,1.0,71
839,Germany,Data Analyst,Analytics,Mid,5,62811,5378,Diploma,Healthcare,Enterprise,3,2021,Hybrid,54.4,3.52,26,27.863467574249125,0.092,72,2.82,95.2,7,81.18,30.8,21,80,56,84,58,63,29,6,2.31,72
886,Netherlands,Data Analyst,Computer Vision,Entry,0,49415,5618,PhD,Automotive,Medium,6,2026,Remote,48.2,4.03,14,95.6728364993646,0.452,70,8.63,97.9,13,66.38,34.8,30,95,27,61,65,72,18,89,1.65,68
889,Australia,Data Analyst,NLP,Entry,0,44553,8743,PhD,Automotive,Large,6,2020,Onsite,52.1,3.96,7,16.431042764826167,0.361,83,3.34,95.69,4,94.95,19.5,14,60,14,69,47,58,40,96,2.37,74
890,Canada,Data Analyst,MLOps,Entry,1,59127,8955,Bachelor,Consulting,Small,5,2024,Onsite,36.6,4.69,10,75.3429644607901,0.466,91,7.74,69.33,11,87.1,39.8,24,46,34,55,77,90,12,16,2.45,73
896,Japan,Data Analyst,NLP,Mid,2,57004,5530,Master,Gaming,Startup,4,2025,Hybrid,52.4,3.36,27,60.75681512705319,0.191,78,0.47,74.6,5,87.68,19.1,10,86,61,67,45,57,59,55,2.0,67
927,France,Data Analyst,Reinforcement Learning,Mid,2,54456,3772,Bachelor,Healthcare,Large,6,2020,Remote,54.1,3.45,7,57.51523016737157,0.171,79,4.11,58.86,13,86.4,25.0,13,27,5,80,64,36,39,18,0.9,63
935,Singapore,Data Analyst,MLOps,Senior,11,121722,16353,Master,Telecom,Large,2,2024,Remote,42.5,4.7,26,8.362282879307202,0.091,79,1.19,60.91,3,84.05,33.9,16,69,78,83,52,63,60,49,0.94,74
939,Brazil,Data Analyst,Generative AI,Senior,9,43630,8440,Diploma,Healthcare,Enterprise,7,2021,Remote,37.8,3.22,24,39.59018510612985,0.054,71,2.8,93.93,13,74.6,28.3,12,10,33,82,62,85,61,70,1.06,78
